id,chemin_origine,ad_id,etat_declare,classe_declaree,fichier,vehicule,fraction_cadre,garde
0001,dl/data/leboncoin-private/raw/images/excellent_condition/3240405259/02.jpg,3240405259,excellent_condition,intact,0001.jpg,True,0.24542646615385152,False
0002,dl/data/leboncoin-private/raw/images/damaged/3185977113/01.jpg,3185977113,damaged,abime,0002.jpg,True,0.7176157724961904,True
0003,dl/data/leboncoin-private/raw/images/excellent_condition/3166748698/06.jpg,3166748698,excellent_condition,intact,0003.jpg,False,,False
0004,dl/data/leboncoin-private/raw/images/undamaged/3205621220/00.jpg,3205621220,undamaged,intact,0004.jpg,True,0.23457705067150528,False
0005,dl/data/leboncoin-private/raw/images/damaged/3220859854/01.jpg,3220859854,damaged,abime,0005.jpg,True,0.9487870678834697,True
0006,dl/data/leboncoin-private/raw/images/damaged/3234700974/00.jpg,3234700974,damaged,abime,0006.jpg,True,0.6140137225445923,True
0007,dl/data/leboncoin-private/raw/images/excellent_condition/3240381988/00.jpg,3240381988,excellent_condition,intact,0007.jpg,True,0.6102498457923594,True
0008,dl/data/leboncoin-private/raw/images/not_drivable/3217065511/01.jpg,3217065511,not_drivable,abime,0008.jpg,True,0.7454067993164063,True
0009,dl/data/leboncoin-private/raw/images/excellent_condition/3170410605/02.jpg,3170410605,excellent_condition,intact,0009.jpg,True,0.7544763336151518,True
0010,dl/data/leboncoin-private/raw/images/excellent_condition/3238073327/02.jpg,3238073327,excellent_condition,intact,0010.jpg,False,,False
0011,dl/data/leboncoin-private/raw/images/undamaged/3239595565/01.jpg,3239595565,undamaged,intact,0011.jpg,True,0.15212136111091823,False
0012,dl/data/leboncoin-private/raw/images/excellent_condition/3240461429/01.jpg,3240461429,excellent_condition,intact,0012.jpg,True,0.1910724837476001,False
0013,dl/data/leboncoin-private/raw/images/not_drivable/3230384258/00.jpg,3230384258,not_drivable,abime,0013.jpg,True,0.39848721553364774,True
0014,dl/data/leboncoin-private/raw/images/not_drivable/3218487522/01.jpg,3218487522,not_drivable,abime,0014.jpg,True,0.8595147609710694,True
0015,dl/data/leboncoin-private/raw/images/undamaged/3240234936/02.jpg,3240234936,undamaged,intact,0015.jpg,True,0.9765367543081699,True
